iter	Passed	Remaining
0	129	129829
1	131	65392
2	132	43911
3	133	33170
4	134	26704
5	135	22513
6	137	19468
7	138	17148
8	139	15322
9	140	13862
10	140	12663
11	143	11797
12	144	10980
13	145	10258
14	146	9623
15	147	9092
16	149	8645
17	150	8232
18	152	7856
19	154	7582
20	156	7293
21	158	7059
22	160	6818
23	161	6577
24	162	6349
25	163	6139
26	164	5937
27	165	5748
28	166	5589
29	168	5447
30	169	5297
31	170	5153
32	171	5017
33	173	4938
34	175	4832
35	176	4720
36	177	4611
37	178	4529
38	180	4444
39	181	4348
40	181	4255
41	182	4167
42	183	4085
43	184	4019
44	186	3959
45	187	3892
46	189	3847
47	191	3790
48	192	3726
49	194	3690
50	195	3639
51	198	3609
52	198	3554
53	199	3501
54	200	3448
55	201	3401
56	203	3368
57	204	3317
58	205	3271
59	205	3225
60	207	3190
61	208	3159
62	210	3126
63	211	3089
64	214	3085
65	216	3067
66	222	3102
67	224	3070
68	224	3033
69	227	3018
70	230	3011
71	231	2981
72	234	2982
73	235	2952
74	236	2921
75	237	2893
76	240	2878
77	241	2853
78	242	2825
79	244	2813
80	247	2802
81	253	2835
82	259	2862
83	260	2846
84	266	2864
85	267	2838
86	268	2817
87	269	2794
88	271	2778
89	273	2760
90	274	2746
91	276	2726
92	277	2703
93	278	2679
94	279	2665
95	282	2658
96	283	2636
97	284	2615
98	287	2614
99	288	2594
100	289	2573
101	289	2552
102	290	2529
103	292	2519
104	294	2506
105	294	2487
106	297	2480
107	298	2467
108	299	2446
109	300	2428
110	301	2412
111	302	2400
112	304	2387
113	305	2376
114	307	2365
115	310	2366
116	311	2351
117	312	2337
118	314	2330
119	316	2320
120	317	2308
121	318	2294
122	320	2281
123	321	2270
124	322	2259
125	323	2247
126	325	2234
127	327	2228
128	328	2217
129	329	2203
130	330	2191
131	332	2183
132	333	2173
133	334	2164
134	336	2154
135	338	2147
136	339	2136
137	341	2133
138	342	2120
139	343	2108
140	344	2100
141	346	2090
142	348	2087
143	349	2075
144	351	2074
145	352	2064
146	353	2053
147	355	2043
148	356	2036
149	358	2030
150	359	2021
151	360	2012
152	362	2007
153	365	2007
154	366	1999
155	367	1990
156	370	1988
157	371	1980
158	372	1971
159	374	1965
160	375	1955
161	376	1946
162	378	1942
163	379	1933
164	381	1930
165	384	1932
166	388	1937
167	390	1934
168	392	1928
169	395	1929
170	398	1931
171	399	1924
172	402	1924
173	404	1918
174	405	1911
175	406	1902
176	407	1895
177	408	1886
178	409	1877
179	411	1875
180	413	1871
181	415	1867
182	420	1875
183	421	1868
184	422	1862
185	424	1857
186	425	1850
187	427	1847
188	429	1841
189	430	1836
190	433	1838
191	435	1834
192	438	1832
193	440	1828
194	442	1826
195	443	1820
196	446	1818
197	448	1816
198	450	1811
199	454	1818
200	456	1814
201	460	1818
202	461	1812
203	462	1806
204	464	1800
205	465	1795
206	467	1792
207	469	1789
208	471	1783
209	472	1777
210	473	1771
211	475	1766
212	477	1763
213	478	1758
214	480	1752
215	482	1750
216	484	1747
217	485	1741
218	486	1734
219	487	1727
220	488	1721
221	489	1715
222	490	1708
223	491	1702
224	493	1700
225	495	1696
226	496	1691
227	497	1685
228	498	1679
229	499	1673
230	501	1668
231	502	1663
232	503	1658
233	505	1653
234	507	1652
235	510	1654
236	513	1653
237	517	1656
238	518	1652
239	521	1652
240	522	1646
